401,0,"News Online Today | publication date | 1998/04/26
GAStech | employer | Abila Police
Police | country | GAStech
The Abila Post | employer | Haneson Ngohebo
Haneson Ngohebo | employer | GAStech
20 January 2014 | point in time | Haneson Ngohebo
Abila Police | employer | The Abila Post
GAStech | employer | The Abila Post
Police | employer | The Abila Post
Haneson Ngohebo | employer | Police
20 January 2014 | point in time | Police
Abila Police | employer | Haneson Ngohebo
GAStech | employer | Haneson Ngohebo
Police | employer | Haneson Ngohebo
20 January 2014 | point in time | GAStech
Abila Police | employer | 20 January 2014
GAStech | employer | 20 January 2014
Police | employer | 20 January 2014",12.007358312606812,1120,316
519,0,"The Abila Post | publication date | 20 January 2014
The Abila Post | country | Abila
Haneson Ngohebo | country | Abila
City Morgue | country | Abila
The Abila Post | located in the administrative territorial entity | Abila
Haneson Ngohebo | located in the administrative territorial entity | Abila
City Morgue | located in the administrative territorial entity | Abila
The Abila Post | contributor | Haneson Ngohebo",4.173118591308594,1117,108
520,0,"The Abila Post | publication date | 12 March 2009
The Abila Post | country | ABILA
Kronos | country | ABILA
Elian Karel | country | ABILA
Protectors of Kronos | country | ABILA
Michale Kraft | country | ABILA
Adrien Carman | country | ABILA
GAStech - Kronos | country | ABILA
GAStech | country | ABILA
Sten Sanjorge, Jr. | country | ABILA
POK | country | ABILA
Elian Karel | member of | Protectors of Kronos
Michale Kraft | employer | GAStech
Adrien Carman | employer | GAStech
GAStech - Kronos | part of | GAStech
Sten Sanjorge, Jr. | employer | GAStech
POK | abbreviation for | Protectors of Kronos
GAStech | located in the administrative territorial entity | Kronos
GAStech - Kronos | located in the administrative territorial entity | Kronos
The Abila Post | located in the administrative territorial entity | ABILA
Kronos | located in the administrative territorial entity | ABILA
Elian Karel | located in the administrative territorial entity | ABILA
Protectors of Kronos | located in the administrative territorial entity | ABILA
Michale Kraft | located in the administrative territorial entity | ABILA
Adrien Carman | located in the administrative territorial entity | ABILA
Sten Sanjorge, Jr. | located in the administrative territorial entity | ABILA
POK | located in the administrative territorial entity | ABILA",13.397536754608154,1150,344
521,0,"The Abila Post | publication date | 20 January 2014
Haneson Ngohebo | employer | The Abila Post
Haneson Ngohebo | affiliation | AFD
Haneson Ngohebo | affiliation | GAStech - Kronos
The Abila Post | affiliation | AFD
The Abila Post | affiliation | GAStech - Kronos
AFD | affiliation | GAStech - Kronos
GAStech - Kronos | affiliation | AFD
20 January 2014 | event | The Abila Post
20 January 2014 | event | Haneson Ngohebo
AFD | event | 20 January 2014
GAStech - Kronos | event | 20 January 2014",6.785247087478638,1120,164
522,0,"The Abila Post | publication date | 20 January 2014
Haneson Ngohebo | country of citizenship | Rome, Italy
Haneson Ngohebo | employer | The Abila Post
Abila Airport | country | Rome, Italy
ON THE SCENE BLOG | country | Rome, Italy
The Abila Post | country | Rome, Italy
ON THE SCENE BLOG | publication date | 20 January 2014
Abila Airport | publication date | 20 January 2014
Haneson Ngohebo | publication date | 20 January 2014
The Abila Post | location | Rome, Italy
Abila Airport | location | Rome, Italy
ON THE SCENE BLOG | location | Rome, Italy
Haneson Ngohebo | location | Rome, Italy
The Abila Post | contributor | Haneson Ngohebo
ON THE SCENE BLOG | contributor | Haneson Ngohebo
Abila Airport | contributor | Haneson Ngohebo",7.730107545852661,1125,222
523,0,"The Abila Post | publication date | 20 January 2014
The Abila Post | country | GAStech
Haneson Ngohebo | country | GAStech
Haneson Ngohebo | member of | Protectors of Kronos
Haneson Ngohebo | member of | POK
GAStech | inception | 1915
Edvard Vann | country | GAStech
Edvard Vann | member of | Protectors of Kronos
Edvard Vann | member of | POK
Protectors of Kronos | country | GAStech
POK | country | GAStech
The Abila Post | located in the administrative territorial entity | GAStech
Haneson Ngohebo | located in the administrative territorial entity | GAStech
Edvard Vann | located in the administrative territorial entity | GAStech
Protectors of Kronos | located in the administrative territorial entity | GAStech
POK | located in the administrative territorial entity | GAStech",7.647148609161377,1132,219
524,0,"The Abila Post | publication date | 24 September 2005
ELODIS | country | Kronos
Protectors of Kronos | country | Kronos
Kronos Government | country | Kronos
GAStech International | country | Kronos
Tiskele Bend | country | Kronos
Rufus Drymiau | country | Kronos
ELODIS | located in the administrative territorial entity | Kronos
Protectors of Kronos | located in the administrative territorial entity | Kronos
Kronos Government | located in the administrative territorial entity | Kronos
GAStech International | located in the administrative territorial entity | Kronos
Tiskele Bend | located in the administrative territorial entity | Kronos
Rufus Drymiau | located in the administrative territorial entity | Kronos
The Abila Post | country | Kronos
Kronos Government | has part | Protectors of Kronos
GAStech International | located in the administrative territorial entity | Tiskele Bend
Rufus Drymiau | employer | GAStech International
The Abila Post | publisher | ELODIS
Kronos | contains administrative territorial entity | Tiskele Bend
Kronos | contains administrative territorial entity | ELODIS
Kronos | contains administrative territorial entity | GAStech International
Kronos | contains administrative territorial entity | Rufus Drymiau
Kronos | contains administrative territorial entity | Kronos Government
Kronos | contains administrative territorial entity | Protectors of Kronos
Kronos | contains administrative territorial entity | The Abila Post",11.979246377944946,1135,332
524,1,Elodis | profession | Police,0.6142070293426514,1096,7
525,0,"Haneson Ngohebo | occupation | Chief Operating Officer
Haneson Ngohebo | employer | GAStech
Orhan Strum | employer | GAStech
Linda Lagos | employer | GAStech
The Abila Post | publication date | 20 January 2014
ON THE SCENE BLOG | publication date | 20 January 2014
GAStech | employee | Haneson Ngohebo
GAStech | employee | Orhan Strum
GAStech | employee | Linda Lagos
The Abila Post | contributor | Haneson Ngohebo
The Abila Post | contributor | Orhan Strum
The Abila Post | contributor | Linda Lagos
ON THE SCENE BLOG | contributor | Haneson Ngohebo
ON THE SCENE BLOG | contributor | Orhan Strum
ON THE SCENE BLOG | contributor | Linda Lagos
Haneson Ngohebo | publication | The Abila Post
Orhan Strum | publication | The Abila Post
Linda Lagos | publication | The Abila Post
Haneson Ngohebo | publication | ON THE SCENE BLOG
Orhan Strum | publication | ON THE SCENE BLOG
Linda Lagos | publication | ON THE SCENE BLOG",9.071337699890137,1133,276
526,0,"The Abila Post | inception | 20 January 2014
Haneson Ngohebo | employer | The Abila Post
The Abila Fire Department | location | The Abila Post
The Abila Post | location | The Abila Fire Department
Haneson Ngohebo | location | The Abila Post
The Abila Post | contains | Haneson Ngohebo
The Abila Fire Department | contains | Haneson Ngohebo
Haneson Ngohebo | location | The Abila Fire Department
The Abila Post | inception | 20 January 2014
The Abila Fire Department | inception | 20 January 2014
Haneson Ngohebo | inception | 20 January 2014
The Abila Post | contains | The Abila Fire Department
The Abila Fire Department | inception | 20 January 2014
The Abila Post | inception | 20 January 2014
Haneson Ngohebo | inception | 20 January 2014
The Abila Fire Department | contains | The Abila Post
The Abila Post | contains | The Abila Fire Department
The Abila Fire Department | contains | Haneson Ngohebo
Haneson Ngohebo | employer | The Abila Fire Department
The Abila Post | employer | Haneson Ngohebo
The Abila Fire Department | employer | Haneson Ngohebo
Haneson Ngohebo | employer | The Abila Post
The Abila Post | employer | Haneson Ngohebo
The Abila Fire Department | employer | Haneson Ngohebo
Haneson Ngohebo | employer | The Abila Fire Department",13.305919408798218,1116,372
527,0,"The Abila Post | publication date | 20 June 2010
The Abila Post | location | ABILA
Protectors of Kronos | location | Kronos
POK | location | Kronos
Abila police | location | ABILA
The Abila Post | location | ABILA
POK | alternate name | Protectors of Kronos
Protectors of Kronos | alternate name | POK
Abila police | location | ABILA
The Abila Post | country | ABILA
Abila police | country | ABILA
Protectors of Kronos | country | Kronos
POK | country | Kronos",4.541971445083618,1121,133
527,1,"protesters | interact with | riot police
riot police | interact with | protesters
plaza | location of | protesters
plaza | location of | riot police",1.4263112545013428,1097,34
528,0,"The Abila Post | publication date | 2 October 2000
The Abila Post | country | ABILA
The Abila Post | location | ABILA
Kronos | country | ABILA
Kronos | location | ABILA
President Dorel Kapelou II | country | ABILA
President Dorel Kapelou II | location | ABILA
Luis Araullo | country | ABILA
Luis Araullo | location | ABILA
1 October | country | ABILA
1 October | location | ABILA
Dorel Kapelou II | country | ABILA
Dorel Kapelou II | location | ABILA
Kapelou | country | ABILA
Kapelou | location | ABILA
President Dorel Kapelou II | position held | President
Dorel Kapelou II | position held | President
Kapelou | position held | President
The Abila Post | point in time | 2 October 2000
1 October | point in time | 2 October 2000
Dorel Kapelou II | point in time | 2 October 2000
Kapelou | point in time | 2 October 2000
President Dorel Kapelou II | point in time | 2 October 2000
Luis Araullo | point in time | 2 October 2000
Kronos | point in time | 2 October 2000",11.715445280075073,1137,311
