doc_key,processed_entities,output_tokens,entities_not_from_list
0,"One World Research Institute for Social Development | located in the administrative territorial entity | Kronos
Kronesian | contains administrative territorial entity | Elodis
Fluss hank | contains | benzene
Reynolds | occupation | scientific analysis
Tiskele | product | health for all
Daily Pegasus | inception | 1998/04/27
Henk Bodrogi | occupation | Daily Pegasus
Sten Sanjorge | employer | GAStech
Jr | nationality | Kronesian
Reynolds | associated with | 15 of May of 1998
KRONOS | employee | Henk Bodrogi
GAStech | located in the administrative territorial entity | Kronesian
Kronesian | contains administrative territorial entity | Sanjorge
Elodis | contains | benzene
GAStech | country | Kronesian
Reynolds | nationality | Kronesian
GAStech | location | Asia South-Eastern
Elodis | product | health for all
Tiskele | contains | selenium
Kronesian | contains administrative territorial entity | Mr. Fluss
Daily Pegasus | operator | KRONOS
Fluss hank | located in the administrative territorial entity | GAStech
Fluss hank | contains | arsenic of xylene
GAStech | inception | 1990
GAStech | employee | Joclyn Reynolds
Asia South-Eastern | contains | Tiskele
Mr. Fluss | employer | GAStech
GAStech | contains | selenium
Mr. Fluss | nationality | Kronesian
Pondo Reese | associated with | Reynolds
Sanjorge | nationality | Kronesian
GAStech | contains | lead
government of Kronos | country | Kronesian
GAStech | industry | scientific analysis
Elodis | employee | Joclyn Reynolds
Elodis | contains | arsenic of xylene
Sanjorge | occupation | scientific analysis
Asia South-Eastern | contains | Elodis
Tiskele | located in the administrative territorial entity | GAStech
Henk Bodrogi | birth date | 1998/04/27
Kronesian | contains administrative territorial entity | Jr
Daily Pegasus | operator | Henk Bodrogi
Elodis | contains | lead
Jr | occupation | scientific analysis
GAStech | contains | tolueno
Tiskele | contains | arsenic of xylene
Kronesian | contains administrative territorial entity | Sten Sanjorge
Elodis | contains administrative territorial entity | leaders of Elodis
Tiskele | contains | benzene
1998/04/27 | point in time | Daily Pegasus
Kronesian | contains administrative territorial entity | GAStech
Reynolds | employer | GAStech
Mr. Fluss | occupation | scientific analysis
Fluss hank | contains | lead
Tiskele | employee | Joclyn Reynolds
Elodis | location | Asia South-Eastern
Tiskele | contains | lead
Elodis | located in the administrative territorial entity | GAStech
leaders of Elodis | occupation | scientific analysis
Pondo Reese | associated with | 15 of May of 1998
Daily Pegasus | location | Earth
200 years | point in time | Ferro",1022,0
122,"Kronos | product | benzene
THE WHO BRINGS A WEAPON TO SEATING INSIDE? | location of formation | Abila
Abila | position held | president Kapelou
benzene | produced by | POK
Pacific | country | POK
Abila | location of formation | Daily Pegasus
POK | foundation year | 1998
Abila | country | POK
Elodis | country | Abila
THE WHO BRINGS A WEAPON TO SEATING INSIDE? | publication date | 2013/06/22
Kronos | founded by | Julian Vann
Julian Vann | employer | POK
Julian Vann | residence | Pacific
Abila | located in the administrative territorial entity | Pacific
Daily Pegasus | location of formation | Kronos
Pacific | contains administrative territorial entity | Abila
Abila | country | Kronos
Abila | location of formation | THE WHO BRINGS A WEAPON TO SEATING INSIDE?
president Kapelou | position held | Kronos
19 of June | point in time | three years
Daily Pegasus | publication date | 2013/06/22
POK | founded by | Julian Vann
Elodis | country | Kronos
president Kapelou | position held | Abila
benzene | produced by | Kronos
POK | headquarters location | Pacific
THE WHO BRINGS A WEAPON TO SEATING INSIDE? | location of formation | Kronos
Kronos | position held | president Kapelou
Kronos | headquarters location | Pacific
19 of June | point in time | fourteen years
1998 | point in time | Kronos founded
Kronos | location of formation | Daily Pegasus
1998 | point in time | POK founded
Daily Pegasus | location of formation | Abila
Tiskele | country | Kronos
fourteen years | point in time | 19 of June
Kronos | country | Abila
POK | product | benzene
Kronos | location of formation | THE WHO BRINGS A WEAPON TO SEATING INSIDE?
Kronos | foundation year | 1998
three years | point in time | 19 of June
Tiskele | country | Abila",509,0
123,"lead | located in the administrative territorial entity | ELODIS
Kronos | country | ELODIS
HASR | country | ELODIS
Nespola | located in the administrative territorial entity | ELODIS
Kronos | located in the administrative territorial entity | ELODIS
acetic anhydride | country | ELODIS
oncology | located in the administrative territorial entity | ELODIS
PUBLIC HEALTH OF ELODIS | located in the administrative territorial entity | ELODIS
oncology | country | ELODIS
Daily Pegasus | located in the administrative territorial entity | ELODIS
PUBLIC HEALTH OF ELODIS | inception | 2000/06/01
fenol | located in the administrative territorial entity | ELODIS
acetic anhydride | located in the administrative territorial entity | ELODIS
Nespola | country | ELODIS
HASR | located in the administrative territorial entity | ELODIS
PUBLIC HEALTH OF ELODIS | country | ELODIS
general hospital of Abila | country | ELODIS
general hospital of Abila | inception | 1998
ethylene glycol | located in the administrative territorial entity | ELODIS
Elodis | located in the administrative territorial entity | ELODIS
Daily Pegasus | country | ELODIS
ethylene glycol | country | ELODIS
general hospital of Abila | percentage of completion | 89%
fenol | country | ELODIS
lead | country | ELODIS
Elodis | country | ELODIS
general hospital of Abila | located in the administrative territorial entity | ELODIS",350,0
124,"Daily Pegasus | author | Luis Araullo
Luis Araullo | occupation | Daily Pegasus
Mars Government | location | ABILA
The 14 | subject of | Daily Pegasus
healthcare | part of | 124
ABILA | contains | Daily Pegasus
86-14 month | subject of | Daily Pegasus
86-14 month | location | Kronos
Daily Pegasus | subject | The 14
Daily Pegasus | subject | 86-14 month
Kronos | contains | Daily Pegasus
Sarto Takings | subject of | Daily Pegasus
The 14 | location | ABILA
Daily Pegasus | publication date | 1993/02/04
Kronos | contains | 86-14 month
ABILA | contains | The 14
Mars Government | subject of | Daily Pegasus
ABILA | contains | 86-14 month
Daily Pegasus | subject | Mars Government
ABILA | contains | Sarto Takings
Kronos | contains | Mars Government
Daily Pegasus | location | ABILA
14 | part of | 124
Daily Pegasus | location | Kronos
86-14 month | location | ABILA
Sarto Takings | location | ABILA
Daily Pegasus | subject | Sarto Takings
Mars Government | location | Kronos
The 14 | location | Kronos
offices of the president | part of | 124
utilities | part of | 124
ABILA | contains | Mars Government
education | part of | 124
Kronos | contains | Sarto Takings
Kronos | contains | The 14
Sarto Takings | location | Kronos",360,0
125,"Daily Pegasus | location | POK
""this are our earth"" | publication date | 2005/04/07
Daily Pegasus | country | POK
GAStech | location | Kronos
""this are our earth"" | publisher | Daily Pegasus
ELODIS | country | POK
""songs of the farmer"" | publication date | 2005/04/07
Tiskele | country | POK
Daily Pegasus | publication date | 2005/04/07
Tiskele | location | Kronos
Kronos | located in the administrative territorial entity | POK
Tiskele | located in the administrative territorial entity | Kronos
GAStech | located in the administrative territorial entity | Kronos
ELODIS | located in the administrative territorial entity | POK
federal police of Kronos | country | POK
""the weavers of our mother country"" | publisher | Daily Pegasus
GAStech | country | POK
""songs of the farmer"" | publisher | Daily Pegasus
""the weavers of our mother country"" | publication date | 2005/04/07
ELODIS | location | POK
Kronos | country | POK
federal police of Kronos | located in the administrative territorial entity | Kronos
Kronos | contains administrative territorial entity | federal police of Kronos
Daily Pegasus | located in the administrative territorial entity | POK",308,0
126,"Silvia Marek | date of event | 2012/04/10
Silvia Marek | associated with | Kronos
Daily Pegasus | date of event | 2012/04/10
Daily Pegasus | associated with | Kronos
Elodis | location | ABILA
Daily Pegasus | location | ABILA
Silvia Marek | location | ABILA
Silvia Marek | associated with | Elodis
Kronos | date of event | 2012/04/10
Elodis | date of event | 2012/04/10
Daily Pegasus | associated with | Elodis
Kronos | location | ABILA
Silvia Marek | employer | Daily Pegasus",156,0
127,"the funeral services | attended by | Julian
Julian | residence | the family home
Julian Vann | associated with | ELODIS
ELODIS | associated with | Daily Pegasus
Tiskele | residence | the family home
Julian Vann | associated with | Kronos
the small girl | residence | the family home
ELODIS | associated with | OF TEN YEARS
Julian Vann | associated with | Daily Pegasus
Julian Vann | associated with | OF TEN YEARS
the family home | located in | the rural municipality
OF TEN YEARS | associated with | international health of the organization of the recommended aid
the corporation | owner of | GAStech
Kronos | associated with | international health of the organization of the recommended aid
Tiskele | employer | GAStech
the funeral services | attended by | the government
Julian Vann | associated with | international health of the organization of the recommended aid
the river | located in | the rural municipality
Tethys | funeral service | the funeral services
OF TEN YEARS | associated with | Daily Pegasus
benzene | publication date | 1998/08/21
Kronos | associated with | ELODIS
ELODIS | associated with | international health of the organization of the recommended aid
GAStech | located in | the corporation
the small girl | family | Julian
OF TEN YEARS | publication date | 1998/08/21
Julian | employer | GAStech
the rural municipality | contains | the river
Kronos | associated with | OF TEN YEARS
Kronos | publication date | 1998/08/21
the small girl | funeral service | the funeral services
the funeral services | attended by | Tiskele
the government | regulates | the corporation
the funeral services | attended by | the corporation
the rural municipality | contains | the family home
Daily Pegasus | associated with | international health of the organization of the recommended aid
the corporation | located in | the rural municipality
the government | jurisdiction over | the rural municipality
Julian Vann | associated with | benzene
the family home | owned by | Julian
international health of the organization of the recommended aid | publication date | 1998/08/21
benzene | associated with | international health of the organization of the recommended aid
the family home | owned by | Tiskele
Kronos | associated with | Daily Pegasus
the funeral services | location | the family home
Tethys | date of death | 21 of August
the family home | near to | the river
the small girl | date of death | 21 of August
Daily Pegasus | publication date | 1998/08/21
the funeral services | organized by | the family
ELODIS | publication date | 1998/08/21
the government | regulates | GAStech
Julian Vann | publication date | 1998/08/21",1354,0
128,"GAStech | location | Europe
GAStech | affiliation | Sten Sanjorge, Jr
Sten Sanjorge, Jr | nationality | Kronosian
GAStech | located in the administrative territorial entity | Europe
Everyday News | location | Kronosian government
Sten Sanjorge, Jr | affiliation | Tethys
GAStech | affiliation | Tethys
GAStech | located in the administrative territorial entity | Mediterranean region
Tethys-only | located in the administrative territorial entity | Mediterranean region
Everyday News | publication date | 2013/02/24
GAStech | location | Kronos
Europe | contains | Sten Sanjorge, Jr
Kronos | affiliation | GAStech
Tethys-only | location | Kronos
Europe | contains | GAStech
Kronosian | located in the administrative territorial entity | Europe
